action_kind,agent,avg_latency_s,avg_rate_bps,energy_j,final_edge,latency_s,matched,packet_loss,pair_id,route,scenario,task,time_s
UAV_RELAY,LKW27,11.34319069387931,458106.22312699934,5.667364075739655,2,11.34319069387931,1,0.6433491525975362,300.0:LKW27_300_2:LKW27,UAV4->E2,UAV-relay,LKW27_300_2,300.0
WIRED_1HOP,LKW27,11.038308754618313,456922.70723946183,5.516163989981157,4,11.038308754618313,1,0.5394443840906653,300.0:LKW27_300_2:LKW27,E3->E4,No-UAV-relay,LKW27_300_2,300.0
UAV_RELAY,LKW30,56.57597210261614,320640.45612810453,28.278851003931866,8,56.57597210261614,1,0.7454129625674251,300.0:LKW30_300_1:LKW30,UAV0->E8,UAV-relay,LKW30_300_1,300.0
DIRECT,LKW30,55.408275480904486,320635.46267568273,27.695002693076038,8,55.408275480904486,1,0.6708927802748734,300.0:LKW30_300_1:LKW30,DIRECT_E8,No-UAV-relay,LKW30_300_1,300.0
UAV_RELAY,LKW30,24.21687156790904,320640.45612810453,12.101310119182996,8,24.21687156790904,1,0.7454129625674251,300.0:LKW30_300_2:LKW30,UAV0->E8,UAV-relay,LKW30_300_2,300.0
WIRED_1HOP,LKW30,23.713861560010315,320635.46267568273,11.85298512280649,9,23.713861560010315,1,0.6708927802748734,300.0:LKW30_300_2:LKW30,E8->E9,No-UAV-relay,LKW30_300_2,300.0
UAV_RELAY,LKW34,4.646095458080012,1250030.1276417263,2.320260538517006,1,4.646095458080012,1,0.43444902333023494,300.0:LKW34_300_1:LKW34,UAV3->E1,UAV-relay,LKW34_300_1,300.0
DIRECT,LKW34,4.294163819017982,1250031.303542194,2.143946316996991,0,4.294163819017982,1,0.2689416829617826,300.0:LKW34_300_1:LKW34,DIRECT_E0,No-UAV-relay,LKW34_300_1,300.0
UAV_RELAY,LKW37,78.76127377066189,215342.90563676815,39.37401641155594,2,78.76127377066189,1,0.8695177575339141,300.0:LKW37_300_0:LKW37,UAV4->E2,UAV-relay,LKW37_300_0,300.0
DIRECT,LKW37,77.65661878964558,215343.54206851646,38.82168892104779,2,77.65661878964558,1,0.8309774315450347,300.0:LKW37_300_0:LKW37,DIRECT_E2,No-UAV-relay,LKW37_300_0,300.0
UAV_RELAY,LKW37,74.24583913885355,215342.90563676815,37.11330734077677,2,74.24583913885355,1,0.8695177575339141,300.0:LKW37_300_1:LKW37,UAV4->E2,UAV-relay,LKW37_300_1,300.0
DIRECT,LKW37,73.20460932421139,215343.54206851646,36.59269243345569,2,73.20460932421139,1,0.8309774315450347,300.0:LKW37_300_1:LKW37,DIRECT_E2,No-UAV-relay,LKW37_300_1,300.0
UAV_RELAY,LKW37,54.64634986768409,215342.90563676815,27.316901342067045,2,54.64634986768409,1,0.8695177575339141,300.0:LKW37_300_2:LKW37,UAV4->E2,UAV-relay,LKW37_300_2,300.0
DIRECT,LKW37,53.8799624406632,215343.54206851646,26.9337076285566,2,53.8799624406632,1,0.8309774315450347,300.0:LKW37_300_2:LKW37,DIRECT_E2,No-UAV-relay,LKW37_300_2,300.0
UAV_RELAY,LKW38,26.376089884836055,215343.6090452536,13.18668228018611,1,26.376089884836055,1,0.8692430057212686,300.0:LKW38_300_0:LKW38,UAV3->E1,UAV-relay,LKW38_300_0,300.0
DIRECT,LKW38,19.02004316075183,294468.44454195944,9.508658918143997,1,19.02004316075183,1,0.7111665065605594,300.0:LKW38_300_0:LKW38,DIRECT_E1,No-UAV-relay,LKW38_300_0,300.0
UAV_RELAY,LKW38,56.896698605543165,215343.6090452536,28.445557484761363,1,56.896698605543165,1,0.8692430057212686,300.0:LKW38_300_1:LKW38,UAV3->E1,UAV-relay,LKW38_300_1,300.0
DIRECT,LKW38,41.02865495787577,294468.44454195944,20.511535660927667,1,41.02865495787577,1,0.7111665065605594,300.0:LKW38_300_1:LKW38,DIRECT_E1,No-UAV-relay,LKW38_300_1,300.0
UAV_RELAY,LKW38,102.4828893556804,215343.6090452536,51.23967970154067,1,102.4828893556804,1,0.8692430057212686,300.0:LKW38_300_2:LKW38,UAV3->E1,UAV-relay,LKW38_300_2,300.0
DIRECT,LKW38,73.89939351352456,294468.44454195944,36.94793178046275,1,73.89939351352456,1,0.7111665065605594,300.0:LKW38_300_2:LKW38,DIRECT_E1,No-UAV-relay,LKW38_300_2,300.0
UAV_RELAY,LKW39,39.60343757724594,457953.4751457673,19.79720239154797,2,39.60343757724594,1,0.6434921098154351,300.0:LKW39_300_0:LKW39,UAV4->E2,UAV-relay,LKW39_300_0,300.0
WIRED_1HOP,LKW39,38.66221010092391,455472.6554669715,19.324109054673958,4,38.66221010092391,1,0.5412079489139778,300.0:LKW39_300_0:LKW39,E3->E4,No-UAV-relay,LKW39_300_0,300.0
UAV_RELAY,LKW39,39.786170224415244,457953.4751457673,19.88718967415762,2,39.786170224415244,1,0.6434921098154351,300.0:LKW39_300_1:LKW39,UAV4->E2,UAV-relay,LKW39_300_1,300.0
WIRED_1HOP,LKW39,38.83679821956447,455472.6554669715,19.411945912590237,4,38.83679821956447,1,0.5412079489139778,300.0:LKW39_300_1:LKW39,E3->E4,No-UAV-relay,LKW39_300_1,300.0
UAV_RELAY,PKW110,76.99542179250479,294468.06374235346,38.49457258771304,1,76.99542179250479,1,0.7765570520596278,300.0:PKW110_300_0:PKW110,UAV3->E1,UAV-relay,PKW110_300_0,300.0
DIRECT,PKW110,75.53219636216058,294468.44310641894,37.76295987254093,1,75.53219636216058,1,0.7111665087796943,300.0:PKW110_300_0:PKW110,DIRECT_E1,No-UAV-relay,PKW110_300_0,300.0
UAV_RELAY,PKW110,5.540362533433599,294468.06374235346,2.7693937201319936,1,5.540362533433599,1,0.7765570520596278,300.0:PKW110_300_2:PKW110,UAV3->E1,UAV-relay,PKW110_300_2,300.0
DIRECT,PKW110,5.435094516862072,294468.44310641894,2.71675971184623,1,5.435094516862072,1,0.7111665087796943,300.0:PKW110_300_2:PKW110,DIRECT_E1,No-UAV-relay,PKW110_300_2,300.0
