edge,load,queue_cycles,queued_work_s,task,time_s
8,0.006204072727272727,34122400.0,0.006204072727272727,LKW27_300_0,300.0
9,0.0,0.0,0.0,LKW27_300_0,300.0
0,0.0,0.0,0.0,LKW27_300_2,300.0
1,0.0,0.0,0.0,LKW27_300_2,300.0
2,0.0049144,24572000.0,0.0049144,LKW27_300_2,300.0
3,0.018289454545454546,100592000.0,0.018289454545454546,LKW27_300_2,300.0
4,0.0,0.0,0.0,LKW27_300_2,300.0
5,0.0,0.0,0.0,LKW27_300_2,300.0
6,0.0,0.0,0.0,LKW27_300_2,300.0
7,0.00874,43700000.0,0.00874,LKW27_300_2,300.0
8,0.006204072727272727,34122400.0,0.006204072727272727,LKW27_300_2,300.0
9,0.0,0.0,0.0,LKW27_300_2,300.0
0,0.0,0.0,0.0,LKW29_300_1,300.0
1,0.0,0.0,0.0,LKW29_300_1,300.0
2,0.0049144,24572000.0,0.0049144,LKW29_300_1,300.0
3,0.018289454545454546,100592000.0,0.018289454545454546,LKW29_300_1,300.0
4,0.0,0.0,0.0,LKW29_300_1,300.0
5,0.0,0.0,0.0,LKW29_300_1,300.0
6,0.0,0.0,0.0,LKW29_300_1,300.0
7,0.00874,43700000.0,0.00874,LKW29_300_1,300.0
8,0.010617163636363636,58394400.0,0.010617163636363636,LKW29_300_1,300.0
9,0.0,0.0,0.0,LKW29_300_1,300.0
0,0.0,0.0,0.0,LKW29_300_2,300.0
1,0.0,0.0,0.0,LKW29_300_2,300.0
2,0.0049144,24572000.0,0.0049144,LKW29_300_2,300.0
3,0.018289454545454546,100592000.0,0.018289454545454546,LKW29_300_2,300.0
4,0.0,0.0,0.0,LKW29_300_2,300.0
5,0.0,0.0,0.0,LKW29_300_2,300.0
6,0.0,0.0,0.0,LKW29_300_2,300.0
7,0.00874,43700000.0,0.00874,LKW29_300_2,300.0
8,0.010617163636363636,58394400.0,0.010617163636363636,LKW29_300_2,300.0
9,0.0,0.0,0.0,LKW29_300_2,300.0
0,0.0,0.0,0.0,LKW30_300_1,300.0
1,0.0,0.0,0.0,LKW30_300_1,300.0
2,0.0049144,24572000.0,0.0049144,LKW30_300_1,300.0
3,0.018289454545454546,100592000.0,0.018289454545454546,LKW30_300_1,300.0
4,0.0,0.0,0.0,LKW30_300_1,300.0
5,0.0,0.0,0.0,LKW30_300_1,300.0
6,0.0,0.0,0.0,LKW30_300_1,300.0
7,0.00874,43700000.0,0.00874,LKW30_300_1,300.0
8,0.010617163636363636,58394400.0,0.010617163636363636,LKW30_300_1,300.0
9,0.0,0.0,0.0,LKW30_300_1,300.0
0,0.0,0.0,0.0,LKW30_300_2,300.0
