episode,tasks,avg_latency_s,avg_energy_j,avg_packet_loss,avg_network_rate_mbps,success_rate_percent,network_tasks,local_tasks
1,1000,29.658347487642715,14.080755841966788,0.5987182623016206,1.1394308536661104,39.900000000000006,877,123
2,1000,19.224202826919598,9.118300481376027,0.5678137013364176,1.228332615101736,59.599999999999994,602,398
3,1000,18.332046010891617,8.694448177536751,0.5612557065787366,1.2593347970307558,61.199999999999996,585,415
