time_s,uav_id,x,y
300.0,0,1416.5716677814198,1030.8282310057236
300.0,1,1092.6071882468452,1364.1737846945196
300.0,2,691.9857518110019,1203.779257719865
300.0,3,651.4460360175226,740.3371944946198
300.0,4,1157.3600777120264,628.8356920191235
301.0,0,1434.778813576665,1060.7196987179436
301.0,1,1061.4155137489054,1348.2967748370381
301.0,2,707.5716808582476,1172.4411209575394
301.0,3,625.881472127142,716.4321098243106
301.0,4,1191.4897212404292,636.5924589115958
302.0,0,1452.8358549311015,1090.70208117038
302.0,1,1030.0852897523373,1332.6949459594716
302.0,2,724.2193407149756,1141.6538602594082
302.0,3,602.4500274234405,690.4327367723046
302.0,4,1225.6168902618163,644.3601055684456
303.0,0,1466.0697553951688,1123.1036841941066
303.0,1,998.4027597257979,1317.8215707165275
303.0,2,739.8797892365727,1110.3528961831628
303.0,3,575.0655103391749,668.6362181497913
303.0,4,1259.5759820239768,652.8324185164641
304.0,0,1483.308051457516,1153.5641692340212
304.0,1,966.6789037176409,1303.0365458611639
304.0,2,755.066500965123,1078.8193618605735
304.0,3,546.051609219946,649.0608882204232
304.0,4,1293.868913300817,659.8320516812746
305.0,0,1497.668750657119,1185.4823508629693
305.0,1,934.6538914996781,1288.9156892143687
305.0,2,769.1289415710095,1046.7686557184943
305.0,3,516.8674446436473,629.7403152997381
305.0,4,1328.141888179859,666.9287546439575
306.0,0,1527.0703168158423,1204.4704499625163
306.0,1,902.6200621877542,1274.8148459908402
306.0,2,783.0717528204033,1014.665727277871
306.0,3,487.5313601454442,610.6512046259983
306.0,4,1362.3960160837128,674.1158765676785
307.0,0,1534.2073076923077,1208.3663461538463
307.0,1,870.24423286793,1261.518016449419
307.0,2,798.4512963477803,983.225790240887
307.0,3,460.8937694486617,587.9479281692688
307.0,4,1396.6624745117692,681.2439777733485
308.0,0,1534.1535294117646,1213.391568627451
308.0,1,837.844125930016,1248.280453591712
308.0,2,813.230204348107,951.4990841666996
308.0,3,453.8445945945946,572.1427027027028
308.0,4,1430.801290295925,688.9602759049319
309.0,0,1533.9164705882354,1212.550588235294
309.0,1,805.12686830627,1235.8473906713602
309.0,2,827.4354015456162,919.5113932125236
309.0,3,449.94210526315794,565.658947368421
309.0,4,1464.9513082235412,696.6268445991709
310.0,0,1535.397,1211.8578
310.0,1,774.8560628393063,1218.2781466244114
310.0,2,844.5999073184972,889.0092663756499
310.0,3,462.02378378378376,540.3800000000001
310.0,4,1498.9737311267875,704.8411455306359
311.0,0,1524.4660784313726,1199.9741176470588
311.0,1,744.652474462911,1200.5935983070449
311.0,2,860.6115994620828,857.88651401184
311.0,3,461.73243243243235,554.2216216216216
311.0,4,1532.864283548281,713.5835969354762
312.0,0,1523.5643137254901,1198.4403921568628
312.0,1,710.726933124455,1191.9879231509217
312.0,2,875.8833804415394,826.3940910228811
312.0,3,464.7489473684211,562.7765789473685
312.0,4,1566.8997630785843,721.7436296034443
313.0,0,1535.2430769230768,1205.659423076923
313.0,1,684.813111111111,1206.085111111111
313.0,2,888.3032916968477,793.6718385880278
313.0,3,457.47914374509,597.013254534788
313.0,4,1600.9971280575544,729.6410786530364
314.0,0,1534.2401923076923,1204.3838461538462
314.0,1,682.2215217391304,1199.7254347826088
314.0,2,899.9477470147615,760.6656776426964
314.0,3,463.6640540540542,597.9672972972974
314.0,4,1635.0707583454935,737.6403110537631
315.0,0,1517.7628,1202.6778
315.0,1,686.1864444444443,1205.823111111111
315.0,2,911.0654450200047,727.4783790020387
315.0,3,465.81999999999994,606.3884210526317
315.0,4,1668.3775567142686,748.3947139856675
316.0,0,1515.1311764705883,1201.985294117647
316.0,1,682.1714583333332,1175.0902083333335
316.0,2,924.7434386505694,695.2617297311689
316.0,3,456.349189909864,572.6941521595902
316.0,4,1701.9677555383,758.2282557159922
317.0,0,1489.195,1190.2586000000001
317.0,1,653.6891778757812,1154.7491242929648
317.0,2,948.8934392359063,669.9284024382879
317.0,3,476.0133152908074,543.7403584012148
317.0,4,1736.0456776196938,766.2091846477931
318.0,0,1488.463,1189.8762000000002
318.0,1,667.9960173356591,1186.6914840158981
318.0,2,960.8309218277515,637.0270877324984
318.0,3,471.6159441741247,578.4630185421396
318.0,4,1770.017957842933,774.6284587515216
319.0,0,1487.946,1189.4602
319.0,1,647.8217959820347,1158.0907708643879
319.0,2,985.278492436433,611.9808047481207
319.0,3,485.75400874785026,546.4455993752366
319.0,4,1783.867105263158,778.4584210526316
320.0,0,1503.204375,1191.1131249999999
320.0,1,677.5090826260738,1176.6289749768325
320.0,2,969.0433564455492,580.9740254997449
320.0,3,471.96127853721106,578.6132942465904
320.0,4,1762.54,775.6265
321.0,0,1503.3912500000001,1191.163958333333
321.0,1,706.2231548449522,1196.6415224560774
